,Denominaçao,Seçao,Divisão,Grupo
01.11-3,cultivo de cereais,A,01,01.1
01.12-1,cultivo de algodão herbáceo e de outras fibras de lavoura temporária,A,01,01.1
01.13-0,cultivo de cana-de-açúcar,A,01,01.1
01.14-8,cultivo de fumo,A,01,01.1
01.15-6,cultivo de soja,A,01,01.1
01.16-4,"cultivo de oleaginosas de lavoura temporária, exceto soja",A,01,01.1
01.19-9,cultivo de plantas de lavoura temporária não especificadas anteriormente,A,01,01.1
01.21-1,horticultura,A,01,01.2
01.22-9,cultivo de flores e plantas ornamentais,A,01,01.2
01.31-8,cultivo de laranja,A,01,01.3
01.32-6,cultivo de uva,A,01,01.3
01.33-4,"cultivo de frutas de lavoura permanente, exceto laranja e uva",A,01,01.3
01.34-2,cultivo de café,A,01,01.3
01.35-1,cultivo de cacau,A,01,01.3
01.39-3,cultivo de plantas de lavoura permanente não especificadas anteriormente,A,01,01.3
01.41-5,produção de sementes certificadas,A,01,01.4
01.42-3,"produção de mudas e outras formas de propagação vegetal, certificadas",A,01,01.4
01.51-2,criação de bovinos,A,01,01.5
01.52-1,criação de outros animais de grande porte,A,01,01.5
01.53-9,criação de caprinos e ovinos,A,01,01.5
01.54-7,criação de suínos,A,01,01.5
01.55-5,criação de aves,A,01,01.5
01.59-8,criação de animais não especificados anteriormente,A,01,01.5
01.61-0,atividades de apoio à agricultura,A,01,01.6
01.62-8,atividades de apoio à pecuária,A,01,01.6
01.63-6,atividades de pós-colheita,A,01,01.6
01.70-9,caça e serviços relacionados,A,01,01.7
02.10-1,produção florestal - florestas plantadas,A,02,02.1
02.20-9,produção florestal - florestas nativas,A,02,02.2
02.30-6,atividades de apoio à produção florestal,A,02,02.3
03.11-6,pesca em água salgada,A,03,03.1
03.12-4,pesca em água doce,A,03,03.1
03.21-3,aqüicultura em água salgada e salobra,A,03,03.2
03.22-1,aqüicultura em água doce,A,03,03.2
05.00-3,extração de carvão mineral,B,05,05.0
06.00-0,extração de petróleo e gás natural,B,06,06.0
07.10-3,extração de minério de ferro,B,07,07.1
07.21-9,extração de minério de alumínio,B,07,07.2
07.22-7,extração de minério de estanho,B,07,07.2
07.23-5,extração de minério de manganês,B,07,07.2
07.24-3,extração de minério de metais preciosos,B,07,07.2
07.25-1,extração de minerais radioativos,B,07,07.2
07.29-4,extração de minerais metálicos não-ferrosos não especificados anteriormente,B,07,07.2
08.10-0,"extração de pedra, areia e argila",B,08,08.1
08.91-6,"extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",B,08,08.9
08.92-4,extração e refino de sal marinho e sal-gema,B,08,08.9
08.93-2,extração de gemas (pedras preciosas e semipreciosas),B,08,08.9
08.99-1,extração de minerais não-metálicos não especificados anteriormente,B,08,08.9
09.10-6,atividades de apoio à extração de petróleo e gás natural,B,09,09.1
09.90-4,"atividades de apoio à extração de minerais, exceto petróleo e gás natural",B,09,09.9
10.11-2,"abate de reses, exceto suínos",C,10,10.1
10.12-1,"abate de suínos, aves e outros pequenos animais",C,10,10.1
10.13-9,fabricação de produtos de carne,C,10,10.1
10.20-1,preservação do pescado e fabricação de produtos do pescado,C,10,10.2
10.31-7,fabricação de conservas de frutas,C,10,10.3
10.32-5,fabricação de conservas de legumes e outros vegetais,C,10,10.3
10.33-3,"fabricação de sucos de frutas, hortaliças e legumes",C,10,10.3
10.41-4,"fabricação de óleos vegetais em bruto, exceto óleo de milho",C,10,10.4
10.42-2,"fabricação de óleos vegetais refinados, exceto óleo de milho",C,10,10.4
10.43-1,fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais,C,10,10.4
10.51-1,preparação do leite,C,10,10.5
10.52-0,fabricação de laticínios,C,10,10.5
10.53-8,fabricação de sorvetes e outros gelados comestíveis,C,10,10.5
10.61-9,beneficiamento de arroz e fabricação de produtos do arroz,C,10,10.6
10.62-7,moagem de trigo e fabricação de derivados,C,10,10.6
10.63-5,fabricação de farinha de mandioca e derivados,C,10,10.6
10.64-3,"fabricação de farinha de milho e derivados, exceto óleos de milho",C,10,10.6
10.65-1,fabricação de amidos e féculas de vegetais e de óleos de milho,C,10,10.6
10.66-0,fabricação de alimentos para animais,C,10,10.6
10.69-4,moagem e fabricação de produtos de origem vegetal não especificados anteriormente,C,10,10.6
10.71-6,fabricação de açúcar em bruto,C,10,10.7
10.72-4,fabricação de açúcar refinado,C,10,10.7
10.81-3,torrefação e moagem de café,C,10,10.8
10.82-1,fabricação de produtos à base de café,C,10,10.8
10.91-1,fabricação de produtos de panificação,C,10,10.9
10.92-9,fabricação de biscoitos e bolachas,C,10,10.9
10.93-7,"fabricação de produtos derivados do cacau, de chocolates e confeitos",C,10,10.9
10.94-5,fabricação de massas alimentícias,C,10,10.9
10.95-3,"fabricação de especiarias, molhos, temperos e condimentos",C,10,10.9
10.96-1,fabricação de alimentos e pratos prontos,C,10,10.9
10.99-6,fabricação de produtos alimentícios não especificados anteriormente,C,10,10.9
11.11-9,fabricação de aguardentes e outras bebidas destiladas,C,11,11.1
11.12-7,fabricação de vinho,C,11,11.1
11.13-5,"fabricação de malte, cervejas e chopes",C,11,11.1
11.21-6,fabricação de águas envasadas,C,11,11.2
11.22-4,fabricação de refrigerantes e de outras bebidas não-alcoólicas,C,11,11.2
12.10-7,processamento industrial do fumo,C,12,12.1
12.20-4,fabricação de produtos do fumo,C,12,12.2
13.11-1,preparação e fiação de fibras de algodão,C,13,13.1
13.12-0,"preparação e fiação de fibras têxteis naturais, exceto algodão",C,13,13.1
13.13-8,fiação de fibras artificiais e sintéticas,C,13,13.1
13.14-6,fabricação de linhas para costurar e bordar,C,13,13.1
13.21-9,tecelagem de fios de algodão,C,13,13.2
13.22-7,"tecelagem de fios de fibras têxteis naturais, exceto algodão",C,13,13.2
13.23-5,tecelagem de fios de fibras artificiais e sintéticas,C,13,13.2
13.30-8,fabricação de tecidos de malha,C,13,13.3
13.40-5,"acabamentos em fios, tecidos e artefatos têxteis",C,13,13.4
13.51-1,fabricação de artefatos têxteis para uso doméstico,C,13,13.5
13.52-9,fabricação de artefatos de tapeçaria,C,13,13.5
13.53-7,fabricação de artefatos de cordoaria,C,13,13.5
13.54-5,"fabricação de tecidos especiais, inclusive artefatos",C,13,13.5
13.59-6,fabricação de outros produtos têxteis não especificados anteriormente,C,13,13.5
14.11-8,confecção de roupas íntimas,C,14,14.1
14.12-6,"confecção de peças do vestuário, exceto roupas íntimas",C,14,14.1
14.13-4,confecção de roupas profissionais,C,14,14.1
14.14-2,"fabricação de acessórios do vestuário, exceto para segurança e proteção",C,14,14.1
14.21-5,fabricação de meias,C,14,14.2
14.22-3,"fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",C,14,14.2
15.10-6,curtimento e outras preparações de couro,C,15,15.1
15.21-1,"fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",C,15,15.2
15.29-7,fabricação de artefatos de couro não especificados anteriormente,C,15,15.2
15.31-9,fabricação de calçados de couro,C,15,15.3
15.32-7,fabricação de tênis de qualquer material,C,15,15.3
15.33-5,fabricação de calçados de material sintético,C,15,15.3
15.39-4,fabricação de calçados de materiais não especificados anteriormente,C,15,15.3
15.40-8,"fabricação de partes para calçados, de qualquer material",C,15,15.4
16.10-2,desdobramento de madeira,C,16,16.1
16.21-8,"fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",C,16,16.2
16.22-6,"fabricação de estruturas de madeira e de artigos de carpintaria para 
construção",C,16,16.2
16.23-4,fabricação de artefatos de tanoaria e de embalagens de madeira,C,16,16.2
16.29-3,"fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis",C,16,16.2
17.10-9,fabricação de celulose e outras pastas para a fabricação de papel,C,17,17.1
17.21-4,fabricação de papel,C,17,17.2
17.22-2,fabricação de cartolina e papel-cartão,C,17,17.2
17.31-1,fabricação de embalagens de papel,C,17,17.3
17.32-0,fabricação de embalagens de cartolina e papel-cartão,C,17,17.3
17.33-8,fabricação de chapas e de embalagens de papelão ondulado,C,17,17.3
17.41-9,"fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",C,17,17.4
17.42-7,fabricação de produtos de papel para usos doméstico e higiênico-sanitário,C,17,17.4
17.49-4,"fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",C,17,17.4
18.11-3,"impressão de jornais, livros, revistas e outras publicações periódicas",C,18,18.1
18.12-1,impressão de material de segurança,C,18,18.1
18.13-0,impressão de materiais para outros usos,C,18,18.1
18.21-1,serviços de pré-impressão,C,18,18.2
18.22-9,serviços de acabamentos gráficos,C,18,18.2
18.30-0,reprodução de materiais gravados em qualquer suporte,C,18,18.3
19.10-1,coquerias,C,19,19.1
19.21-7,fabricação de produtos do refino de petróleo,C,19,19.2
19.22-5,"fabricação de produtos derivados do petróleo, exceto produtos do refino",C,19,19.2
19.31-4,fabricação de álcool,C,19,19.3
19.32-2,"fabricação de biocombustíveis, exceto álcool",C,19,19.3
20.11-8,fabricação de cloro e álcalis,C,20,20.1
20.12-6,fabricação de intermediários para fertilizantes,C,20,20.1
20.13-4,fabricação de adubos e fertilizantes,C,20,20.1
20.14-2,fabricação de gases industriais,C,20,20.1
20.19-3,fabricação de produtos químicos inorgânicos não especificados anteriormente,C,20,20.1
20.21-5,fabricação de produtos petroquímicos básicos,C,20,20.2
20.22-3,"fabricação de intermediários para plastificantes, resinas e fibras",C,20,20.2
20.29-1,fabricação de produtos químicos orgânicos não especificados anteriormente,C,20,20.2
20.31-2,fabricação de resinas termoplásticas,C,20,20.3
20.32-1,fabricação de resinas termofixas,C,20,20.3
20.33-9,fabricação de elastômeros,C,20,20.3
20.40-1,fabricação de fibras artificiais e sintéticas,C,20,20.4
20.51-7,fabricação de defensivos agrícolas,C,20,20.5
20.52-5,fabricação de desinfestantes domissanitários,C,20,20.5
20.61-4,fabricação de sabões e detergentes sintéticos,C,20,20.6
20.62-2,fabricação de produtos de limpeza e polimento,C,20,20.6
20.63-1,"fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",C,20,20.6
20.71-1,"fabricação de tintas, vernizes, esmaltes e lacas",C,20,20.7
20.72-0,fabricação de tintas de impressão,C,20,20.7
20.73-8,"fabricação de impermeabilizantes, solventes e produtos afins",C,20,20.7
20.91-6,fabricação de adesivos e selantes,C,20,20.9
20.92-4,fabricação de explosivos,C,20,20.9
20.93-2,fabricação de aditivos de uso industrial,C,20,20.9
20.94-1,fabricação de catalisadores,C,20,20.9
20.99-1,fabricação de produtos químicos não especificados anteriormente,C,20,20.9
21.10-6,fabricação de produtos farmoquímicos,C,20,21.1
21.21-1,fabricação de medicamentos para uso humano,C,20,21.2
21.22-0,fabricação de medicamentos para uso veterinário,C,20,21.2
21.23-8,fabricação de preparações farmacêuticas,C,20,21.2
22.11-1,fabricação de pneumáticos e de câmaras-de-ar,C,22,22.1
22.12-9,reforma de pneumáticos usados,C,22,22.1
22.19-6,fabricação de artefatos de borracha não especificados anteriormente,C,22,22.1
22.21-8,fabricação de laminados planos e tubulares de material plástico,C,22,22.2
22.22-6,fabricação de embalagens de material plástico,C,22,22.2
22.23-4,fabricação de tubos e acessórios de material plástico para uso na construção,C,22,22.2
22.29-3,fabricação de artefatos de material plástico não especificados anteriormente,C,22,22.2
23.11-7,fabricação de vidro plano e de segurança,C,22,23.1
23.12-5,fabricação de embalagens de vidro,C,22,23.1
23.19-2,fabricação de artigos de vidro,C,22,23.1
23.20-6,fabricação de cimento,C,22,23.2
23.30-3,"fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",C,22,23.3
23.41-9,fabricação de produtos cerâmicos refratários,C,22,23.4
23.42-7,fabricação de produtos cerâmicos não-refratários para uso estrutural na construção,C,22,23.4
23.49-4,fabricação de produtos cerâmicos não-refratários não especificados anteriormente,C,22,23.4
23.91-5,aparelhamento e outros trabalhos em pedras,C,22,23.9
23.92-3,fabricação de cal e gesso,C,22,23.9
23.99-1,fabricação de produtos de minerais não-metálicos não especificados anteriormente,C,22,23.9
24.11-3,produção de ferro-gusa,C,24,24.1
24.12-1,produção de ferroligas,C,24,24.1
24.21-1,produção de semi-acabados de aço,C,24,24.2
24.22-9,produção de laminados planos de aço,C,24,24.2
24.23-7,produção de laminados longos de aço,C,24,24.2
24.24-5,"produção de relaminados, trefilados e perfilados de aço",C,24,24.2
24.31-8,produção de tubos de aço com costura,C,24,24.3
24.39-3,produção de outros tubos de ferro e aço,C,24,24.3
24.41-5,metalurgia do alumínio e suas ligas,C,24,24.4
24.42-3,metalurgia dos metais preciosos,C,24,24.4
24.43-1,metalurgia do cobre,C,24,24.4
24.49-1,metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente,C,24,24.4
24.51-2,fundição de ferro e aço,C,24,24.5
24.52-1,fundição de metais não-ferrosos e suas ligas,C,24,24.5
25.11-0,fabricação de estruturas metálicas,C,25,25.1
25.12-8,fabricação de esquadrias de metal,C,25,25.1
25.13-6,fabricação de obras de caldeiraria pesada,C,25,25.1
25.21-7,"fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",C,25,25.2
25.22-5,"fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",C,25,25.2
25.31-4,produção de forjados de aço e de metais não-ferrosos e suas ligas,C,25,25.3
25.32-2,produção de artefatos estampados de metal; metalurgia do pó,C,25,25.3
25.39-0,"serviços de usinagem, solda, tratamento e revestimento em metais",C,25,25.3
25.41-1,fabricação de artigos de cutelaria,C,25,25.4
25.42-0,"fabricação de artigos de serralheria, exceto esquadrias",C,25,25.4
25.43-8,fabricação de ferramentas,C,25,25.4
25.50-1,"fabricação de equipamento bélico pesado, armas de fogo e munições",C,25,25.5
25.91-8,fabricação de embalagens metálicas,C,25,25.9
25.92-6,fabricação de produtos de trefilados de metal,C,25,25.9
25.93-4,fabricação de artigos de metal para uso doméstico e pessoal,C,25,25.9
25.99-3,fabricação de produtos de metal não especificados anteriormente,C,25,25.9
26.10-8,fabricação de componentes eletrônicos,C,26,26.1
26.21-3,fabricação de equipamentos de informática,C,26,26.2
26.22-1,fabricação de periféricos para equipamentos de informática,C,26,26.2
26.31-1,fabricação de equipamentos transmissores de comunicação,C,26,26.3
26.32-9,fabricação de aparelhos telefônicos e de outros equipamentos de comunicação,C,26,26.3
26.40-0,"fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",C,26,26.4
26.51-5,"fabricação de aparelhos e equipamentos de medida, teste e controle",C,26,26.5
26.52-3,fabricação de cronômetros e relógios,C,26,26.5
26.60-4,fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,C,26,26.6
26.70-1,"fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos",C,26,26.7
26.80-9,"fabricação de mídias virgens, magnéticas e ópticas",C,26,26.8
27.10-4,"fabricação de geradores, transformadores e motores elétricos",C,27,27.1
27.21-0,"fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",C,27,27.2
27.22-8,fabricação de baterias e acumuladores para veículos automotores,C,27,27.2
27.31-7,fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,C,27,27.3
27.32-5,fabricação de material elétrico para instalações em circuito de consumo,C,27,27.3
27.33-3,"fabricação de fios, cabos e condutores elétricos isolados",C,27,27.3
27.40-6,fabricação de lâmpadas e outros equipamentos de iluminação,C,27,27.4
27.51-1,"fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico",C,27,27.5
27.59-7,fabricação de aparelhos eletrodomésticos não especificados anteriormente,C,27,27.5
27.90-2,fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,C,27,27.9
28.11-9,"fabricação de motores e turbinas, exceto para aviões e veículos rodoviários",C,28,28.1
28.12-7,"fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas",C,28,28.1
28.13-5,"fabricação de válvulas, registros e dispositivos semelhantes",C,28,28.1
28.14-3,fabricação de compressores,C,28,28.1
28.15-1,fabricação de equipamentos de transmissão para fins industriais,C,28,28.1
28.21-6,fabricação de aparelhos e equipamentos para instalações térmicas,C,28,28.2
28.22-4,"fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas",C,28,28.2
28.23-2,fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,C,28,28.2
28.24-1,fabricação de aparelhos e equipamentos de ar condicionado,C,28,28.2
28.25-9,fabricação de máquinas e equipamentos para saneamento básico e ambiental,C,28,28.2
28.29-1,fabricação de máquinas e equipamentos de uso geral não especificados anteriormente,C,28,28.2
28.31-3,fabricação de tratores agrícolas,C,28,28.3
28.32-1,fabricação de equipamentos para irrigação agrícola,C,28,28.3
28.33-0,"fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação",C,28,28.3
28.40-2,fabricação de máquinas-ferramenta,C,28,28.4
28.51-8,fabricação de máquinas e equipamentos para a prospecção e extração de petróleo,C,28,28.5
28.52-6,"fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo",C,28,28.5
28.53-4,"fabricação de tratores, exceto agrícolas",C,28,28.5
28.54-2,"fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores",C,28,28.5
28.61-5,"fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta",C,28,28.6
28.62-3,"fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",C,28,28.6
28.63-1,fabricação de máquinas e equipamentos para a indústria têxtil,C,28,28.6
28.64-0,"fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados",C,28,28.6
28.65-8,"fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos",C,28,28.6
28.66-6,fabricação de máquinas e equipamentos para a indústria do plástico,C,28,28.6
28.69-1,fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente,C,28,28.6
29.10-7,"fabricação de automóveis, camionetas e utilitários",C,29,29.1
29.20-4,fabricação de caminhões e ônibus,C,29,29.2
29.30-1,"fabricação de cabines, carrocerias e reboques para veículos automotores",C,29,29.3
29.41-7,fabricação de peças e acessórios para o sistema motor de veículos automotores,C,29,29.4
29.42-5,fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores,C,29,29.4
29.43-3,fabricação de peças e acessórios para o sistema de freios de veículos automotores,C,29,29.4
