,Especificação,Classe,Tipo
010213,Chapas fotossensíveis,1,p
010269,Chapas fotográficas sensibilizadas,1,p
010406,Chapas sensibilizadas para impressão em ofsete,1,p
010141,Cianamida cálcica [fertilizante],1,p
010228,Prussiatos,1,p
010230,Cimeno,1,p
010158,Cimento [metalurgia],1,p
010194,Cimento para consertar objetos quebrados,1,p
010182,Cloratos,1,p
010050,Cloreto de alumínio,1,p
010173,Cloreto de cálcio,1,p
010383,Cloreto de magnésio,1,p
010554,Cloretos,1,p
010415,Cloreto de paládio,1,p
010184,Cloridratos,1,p
010183,Cloro,1,p
010641,Coberturas de húmus,1,p
010202,Cola para acabamento,1,p
010600,Cola para uso industrial,1,p
010688,Colágeno para fins industriais,1,p
010222,Colas para couro,1,p
010206,Colódio *,1,p
010001,Comburentes [aditivos químicos para combustível],1,p
010087,Combustíveis para reatores nucleares,1,p
010646,Composições de cerâmica para sinterização [grânulos e pós],1,p
010288,Composições extintoras de fogo,1,p
010603,Composições para a fabricação de discos fonográficos,1,p
010295,Composições para fiar,1,p
010631,Composições para manufatura de cerâmicas técnicas,1,p
010032,Composições para reparar câmaras-de-ar de pneus,1,p
010465,Composições para reparos de pneus,1,p
010016,Composições químicas à prova de ácidos,1,p
010303,Compostos de espatoflúor,1,p
010686,Compostos orgânicos [fertilizantes],1,p
010540,"Conservantes para telhas, exceto tintas e óleos",1,p
010667,Creme de tártaro para a indústria de alimentos,1,p
010668,Creme de tártaro para uso industrial,1,p
010219,Creme de tártaro para uso químico,1,p
010602,Creosoto para uso químico,1,p
010372,Criptônio,1,p
010187,Cromato,1,p
010658,"Cultura de tecido biológico, exceto para uso médico ou veterinário",1,p
010596,"Culturas de microrganismos, exceto para uso medicinal ou veterinário",1,p
010226,Cúrio,1,p
010111,Derivados de benzeno,1,p
010592,Derivados de celulose [substâncias químicas],1,p
010236,Desfolhantes,1,p
010240,Desincrustantes,1,p
010241,Detergentes para uso em processos de manufatura,1,p
010242,Dextrina [acabamento],1,p
010244,Diástase para uso industrial,1,p
010123,Dioxalato de potássio,1,p
010124,Dióxido de manganês,1,p
010536,Dióxido de titânio para uso industrial,1,p
010352,Dispersantes para óleo,1,p
010351,Dispersantes para petróleo,1,p
010605,Dispersões de matérias plásticas,1,p
010250,Disprósio,1,p
010149,Dissulfeto de carbono,1,p
010248,Dolomita para uso industrial,1,p
010180,Elementos químicos de fissão,1,p
010456,Elementos radioativos para uso científico,1,p
010609,Emolientes para uso industrial,1,p
010268,Emulsificadores,1,p
010267,Emulsões fotográficas,1,p
010493,Enxofre,1,p
010661,Enzimas para a indústria de alimentos,1,p
010273,Enzimas para uso industrial,1,p
010276,Érbio,1,p
010473,Escândio,1,p
010428,Escórias [fertilizantes],1,p
010160,Esmalte para cerâmica,1,p
010496,Espinelas [óxidos],1,p
010678,Espírito de sal amoníaco,1,p
010058,Espírito de sal,1,p
010277,Espíritos de vinagre [ácido acético diluído],1,p
010710,Esterco,1,p
010279,Ésteres *,1,p
010590,Ésteres de celulose para uso industrial,1,p
010498,Estrôncio,1,p
010280,Etano,1,p
010282,Éter etílico,1,p
010284,Éter metílico,1,p
010285,Éter sulfúrico,1,p
010281,Éteres *,1,p
010593,Éteres de celulose para uso industrial,1,p
010283,Éteres de glicol,1,p
010287,Európio,1,p
010685,Extratos de chá para a indústria alimentícia,1,p
010687,Extratos de chá para uso na fabricação de cosméticos,1,p
010684,Extratos de chá para uso na fabricação de produtos farmacêuticos,1,p
010512,Farinha de tapioca para uso industrial,1,p
010289,Farinha para uso industrial,1,p
010444,Fécula de batata para uso industrial,1,p
010426,Fenol para uso industrial,1,p
010374,Fermentos lácteos para uso químico,1,p
010291,Fermentos para uso químico,1,p
010159,Férmio,1,p
010229,Ferrocianetos,1,p
010659,Fertilizante de farinha de peixe,1,p
010271,Fertilizantes,1,p
010598,"Filmes cinematográficos sensibilizados, mas não expostos",1,p
010464,"Filmes para raio x sensibilizados, mas não expostos",1,p
010581,"Filmes sensibilizados, mas não expostos",1,p
010703,Flavonóides [compostos fenólicos] para fins industriais,1,p
010587,Floculantes,1,p
010299,Flores de enxofre para uso químico,1,p
010642,Fluido magnético para uso industrial,1,p
010643,Fluido para direção hidráulica,1,p
010644,Fluido para transmissão,1,p
010004,Fluidos auxiliares para uso com abrasivos,1,p
010197,Líquidos para circuitos hidráulicos,1,p
010315,Fluidos para freios,1,p
010302,Flúor,1,p
010311,Formaldeído para uso químico,1,p
010429,Fosfátidos,1,p
010427,Fosfatos [fertilizantes],1,p
010430,Fósforo [composto químico],1,p
010298,Fixadores [fotografia],1,p
010314,Frâncio,1,p
010499,Fuligem para uso industrial ou agrícola,1,p
010583,Fundentes para brasagem,1,p
010584,Fundentes para soldagem,1,p
010318,Gadolínio,1,p
010126,Galato básico de bismuto [subgalato de bismuto],1,p
010321,Gálio,1,p
010325,Gambir,1,p
010026,Gases propulsores para aerossóis,1,p
010326,Gases protetores para solda,1,p
010328,Gases solidificados para uso industrial,1,p
010650,Géis para eletroforese,1,p
010329,Gelatina para uso fotográfico,1,p
010330,Gelatina para uso industrial,1,p
010333,Gelo seco [dióxido de carbono],1,p
010656,Genes de sementes para produção agrícola,1,p
010332,Getters [substâncias reativas],1,p
010716,Gipsita para uso como fertilizante,1,p
010336,Glicerídeos,1,p
010252,Glicerina para uso industrial,1,p
010337,Glicol,1,p
010662,Glicose para a indústria de alimentos,1,p
010614,Glicose para uso industrial,1,p
010335,Glicosídeos,1,p
010615,"Glúten [substância adesiva], exceto para papelaria ou uso doméstico",1,p
010671,Glúten para fins industriais,1,p
010670,Glúten para indústria de alimentos,1,p
010024,Goma tragacanta para uso industrial [alcatira],1,p
010078,Goma arábica para uso industrial,1,p
010616,Gomas [colas] para fins industriais,1,p
010715,Grafeno,1,p
010305,Grafite para uso industrial,1,p
010342,Guano,1,p
010344,Hélio,1,p
010048,Hidrato de alumínio,1,p
010356,Hidratos,1,p
010357,Hidratos de carbono [carboidratos],1,p
010358,Hidrazina,1,p
010359,Hidrogênio,1,p
010360,Hipoclorito de sódio,1,p
010361,Hipossulfitos,1,p
010345,Hólmio,1,p
010346,Hormônios para acelerar a maturação de frutos,1,p
010355,Húmus,1,p
010618,"Ictiocola, exceto para papelaria, uso doméstico ou uso alimentar",1,p
010640,Intensificadores químicos para borracha,1,p
010639,Intensificadores químicos para papel,1,p
010051,Iodeto de alumínio,1,p
010559,Iodetos alcalinos para uso industrial,1,p
010368,Iodo para uso industrial,1,p
010365,Iodo para uso químico,1,p
010369,Isótopos para uso industrial,1,p
010552,Itérbio,1,p
010553,Ítrio,1,p
010674,Lactose [matéria-prima],1,p
010672,Lactose para indústria de alimentos,1,p
010673,Lactose para uso industrial,1,p
010136,Lamas de perfuração,1,p
010375,Lantânio,1,p
010588,Lecitina [matéria-prima],1,p
010663,Lecitina para a indústria de alimentos,1,p
010664,Lecitina para uso industrial,1,p
010675,Leite fermentado para a indústria de alimentos,1,p
010676,Leite fermentado para uso industrial,1,p
010647,Líquidos de arrefecimento para motores de veículos,1,p
010500,Líquidos para remover sulfatos de baterias,1,p
010378,Litina [óxido de lítio],1,p
010379,Lítio,1,p
010130,Madeira para curtimento [madeira tanante],1,p
010382,Magnesita,1,p
010384,Manganato,1,p
010527,Marga,1,p
010649,Massas de preenchimento para reparo de carroceria de carros,1,p
010651,Mástique de vidraceiro,1,p
010170,Mástique para calçados,1,p
010192,Mástique para couro,1,p
010080,Mástique para enchimento de cavidades de árvores,1,p
010341,Mástique para enxertar árvores,1,p
010193,Mástique para pneus,1,p
010655,Mástiques de óleo,1,p
010621,Materiais cerâmicos em partículas para uso como meio de filtragem,1,p
010179,Materiais moderadores para reatores nucleares,1,p
010620,Materiais sintéticos para absorção de óleo,1,p
010297,Material de fissão para energia nuclear,1,p
010611,Material para filtragem constituído por preparações químicas,1,p
010612,Material para filtragem constituído por substâncias minerais,1,p
010613,Material para filtragem constituído por substâncias vegetais,1,p
010610,Material para filtragem em matérias plásticas não processadas,1,p
010387,Mercúrio,1,p
010560,Metais alcalinos,1,p
010039,Metais alcalino-terrosos,1,p
010390,Metalóides,1,p
010394,Metano,1,p
010577,Metilbenzeno,1,p
010471,Molho para preparar tabaco,1,p
010633,Mordentes para metais,1,p
010399,Naftalina,1,p
010717,Nanopós para fins industriais,1,p
010597,Negro de carvão para uso industrial [fragmento de carvão],1,p
010316,Negro de fumo para uso industrial [fuligem],1,p
010400,Neodímio,1,p
010401,Néon,1,p
010402,Netúnio,1,p
010403,Neutralizadores de gases tóxicos,1,p
010700,Nitrato de amônio,1,p
010569,Nitrato de prata,1,p
010405,Nitrato de urânio,1,p
010572,Nitratos,1,p
010092,Nitrogênio,1,p
010319,Nozes de galha [bugalhos],1,p
010706,Óleo para transmissão,1,p
010348,Óleos para conservação de alimentos,1,p
010350,Óleos para curtimento do couro,1,p
010601,Óleos para acabamento do couro,1,p
010349,Óleos para preparar couro no processo de manufatura,1,p
010408,Olivina [silicato],1,p
010262,Opacificadores para esmalte,1,p
010263,Opacificadores para vidros,1,p
010411,Oxalatos,1,p
010075,Óxido de antimônio,1,p
010441,Óxido de chumbo,1,p
010599,Óxido de cobalto para uso industrial,1,p
010189,Óxido de cromo,1,p
010389,Óxido de mercúrio,1,p
010543,Óxido de urânio,1,p
010093,Protóxido de azoto,1,p
010413,Oxigênio para uso industrial,1,p
010036,Papel albuminado,1,p
010090,Papel autovirador [fotografia],1,p
010103,Papel barítico,1,p
010419,Papel de tornassol,1,p
010245,Papel diazo,1,p
010322,Papel fotográfico,1,p
010417,Papel fotométrico,1,p
010416,Papel nitrado,1,p
010432,Papel para cópia heliográfica,1,p
010278,Papel químico para testes,1,p
010259,"Papel reagente, exceto para uso médico ou veterinário",1,p
010418,Papel sensível,1,p
010566,"Pasta de amido [adesiva], exceto para papelaria ou uso doméstico",1,p
010156,Pasta de papel,1,p
010420,Pectina [fotografia],1,p
010665,Pectina para a indústria de alimentos,1,p
010666,Pectina para uso industrial,1,p
010421,Perborato de sódio,1,p
010422,Percarbonatos,1,p
010423,Perclorato,1,p
010255,Permutadores de íons [substâncias químicas],1,p
010424,Persulfatos,1,p
010438,Plásticos não processados,1,p
010143,Plastificantes,1,p
010439,Plastissóis,1,p
010442,Plutônio,1,p
010718,"Polímeros à base de dendrímeros, utilizados na fabricação de cápsulas para produtos farmacêuticos",1,p
010443,Polônio,1,p
010132,Polpa de madeira,1,p
010446,Potassa,1,p
010447,Potássio,1,p
010449,Praseodímio,1,p
010022,Preparações adesivas para ataduras cirúrgicas,1,p
010580,Preparações alvejantes [descolorantes] para uso industrial,1,p
010260,"Preparações antiestáticas, exceto para uso doméstico",1,p
