,Especificação,Classe,Tipo
auxserv_6_1_21_95,Apresentação de espetáculos ao vivo de grupo carnavalesco,41,s
auxserv_6_1_21_96,Apresentação de espetáculos ao vivo de samba [dança],41,s
auxserv_6_1_21_97,Apresentação de espetáculos ao vivo de samba [música],41,s
auxserv_6_1_21_98,Aqüicultura,44,s
auxserv_6_1_21_99,Arbitragem esportiva,41,s
auxserv_6_1_21_100,Armazenagem de células humanas para fins de estudos científicos,42,s
auxserv_6_1_21_101,Armazenagem de células humanas para fins médicos,44,s
auxserv_6_1_21_102,Arqueologia [estudo e pesquisa],42,s
auxserv_6_1_21_103,Arquivista,35,s
auxserv_6_1_21_104,Arrendamento de contêiner,39,s
auxserv_6_1_21_105,"Assessoria, consultoria e informação em cobrança e cadastro",36,s
auxserv_6_1_21_106,"Assessoria, consultoria e informação em construções",37,s
auxserv_6_1_21_107,"Assessoria, consultoria e informação em culinária",43,s
auxserv_6_1_21_108,"Assessoria, consultoria e informação em empreendimento turístico",39,s
auxserv_6_1_21_109,"Assessoria, consultoria e informação em equilíbrio ambiental [FENG SHUI]",45,s
auxserv_6_1_21_110,"Assessoria, consultoria e informação na área agrícola",44,s
auxserv_6_1_21_111,"Assessoria, consultoria e informação no campo da segurança da informática [programação]",42,s
auxserv_6_1_21_112,"Assessoria, consultoria, informação e assistência em pesagem e em metrologia",42,s
auxserv_6_1_21_113,Assessoria e consultoria em avaliação da conformidade,42,s
auxserv_6_1_21_114,Assessoria e consultoria em controle de qualidade,42,s
auxserv_6_1_21_115,Assessoria e consultoria em ensaios técnicos para controle de qualidade,42,s
auxserv_6_1_21_116,Assessoria e consultoria em governança corporativa para terceiros [gestão organizacional],35,s
auxserv_6_1_21_117,Assessoria e consultoria em inspeção para controle de qualidade,42,s
auxserv_6_1_21_118,"Assessoria e consultoria jurídicas em programas de ""compliance"" de organizações",45,s
auxserv_6_1_21_119,Assessoria e consultoria em rastreabilidade [controle de qualidade],42,s
auxserv_6_1_21_120,Assessoria e consultoria em realização de testes e medições para controle de qualidade,42,s
auxserv_6_1_21_121,"Assessoria promocional, consultoria e informação sobre propaganda",35,s
auxserv_6_1_21_122,Assessoria técnica em linhas de crédito,36,s
auxserv_6_1_21_123,"Assessoria técnica, consultoria e informação na avaliação de dano em veículo e outros bens móveis",36,s
auxserv_6_1_21_124,"Assessoria, consultoria e administração de investimentos de terceiros",36,s
auxserv_6_1_21_125,"Assessoria, consultoria e informação ao consumidor sobre produtos e respectivos preços, através de websites, em 
conexão com comércio realizado pela internet",35,s
auxserv_6_1_21_126,"Assessoria, consultoria e informação bancária",36,s
auxserv_6_1_21_127,"Assessoria, consultoria e informação concernentes ao conhecimento e prevenção de atos terroristas",45,s
auxserv_6_1_21_128,"Assessoria, consultoria e informação demográfica [serviços de marketing]",35,s
auxserv_6_1_21_129,"Assessoria, consultoria e informação econômica, para os setores industrial e comercial das empresas, visando o planejamento, 
organização, monitoramento e desenvolvimento de projetos [também provido on-line] [assessoria em gestão comercial]",35,s
auxserv_6_1_21_130,"Assessoria, consultoria e informação em administração de dívidas",36,s
auxserv_6_1_21_131,"Assessoria, consultoria e informação em administração de patrimônio",36,s
auxserv_6_1_21_132,"Assessoria, consultoria e informação em administração de riscos financeiros",36,s
auxserv_6_1_21_133,"Assessoria, consultoria e informação em agências de modelos para publicidade ou promoção de vendas",35,s
auxserv_6_1_21_134,"Assessoria, consultoria e informação em agrimensura de fazendas",42,s
auxserv_6_1_21_135,"Assessoria, consultoria e informação em aluguel de equipamentos para construção",37,s
auxserv_6_1_21_136,"Assessoria, consultoria e informação em armazenagem",39,s
auxserv_6_1_21_137,"Assessoria, consultoria e informação em assistência médica, prestada por médicos e outros especialistas da área 
médica",44,s
auxserv_6_1_21_138,"Assessoria, consultoria e informação em astronomia",42,s
