,Especificação,Classe,Tipo
auxprod6_1_21_107,Água glicerinada,1,p
auxprod6_1_21_108,Água oxigenada de uso medicinal,5,p
auxprod6_1_21_109,Água para tirar mancha,3,p
auxprod6_1_21_110,Água para uso industrial,1,p
auxprod6_1_21_111,Água potável para beber,32,p
auxprod6_1_21_112,Água-de-coco,32,p
auxprod6_1_21_113,Água-marinha,14,p
auxprod6_1_21_114,Aguardente de cana,33,p
auxprod6_1_21_115,Agulha cirúrgica,10,p
auxprod6_1_21_116,Agulha de fonógrafo,9,p
auxprod6_1_21_117,Agulha de marfim ou de osso,26,p
auxprod6_1_21_118,Agulha epidérmica,10,p
auxprod6_1_21_119,Agulha hipodérmica,10,p
auxprod6_1_21_120,Agulha para aparelho de sonorização,9,p
auxprod6_1_21_121,Agulha para couro,26,p
auxprod6_1_21_122,Agulha para limpeza de cachimbo,34,p
auxprod6_1_21_123,Agulha para máquina industrial,7,p
auxprod6_1_21_124,Agulha para odontologia,10,p
auxprod6_1_21_125,Agulha para seringa injeção,10,p
auxprod6_1_21_126,Agulhas para máquinas de costura de uso doméstico,26,p
auxprod6_1_21_127,Agulheiro,26,p
auxprod6_1_21_128,Aipim fresco [mandioca in natura],31,p
auxprod6_1_21_129,Alabarda [arma branca],8,p
auxprod6_1_21_130,Alamar [passamanaria],26,p
auxprod6_1_21_131,"Alambique, exceto para experiência em laboratório",11,p
auxprod6_1_21_132,Alarme de segurança,9,p
auxprod6_1_21_133,Alavanca cirúrgica,10,p
auxprod6_1_21_134,Alavanca de câmbio [peça de veículo terrestre],12,p
auxprod6_1_21_135,Alavanca [parte de máquina],7,p
auxprod6_1_21_136,Alcachofra fresca,31,p
auxprod6_1_21_137,Alcatrão de hulha combustível,4,p
auxprod6_1_21_138,Alcatrão de hulha em forma de óleo combustível,4,p
auxprod6_1_21_139,Alcatrão de hulha para matéria corante,2,p
auxprod6_1_21_140,Alcatrão esteárico para construção,19,p
auxprod6_1_21_141,Álcool antisséptico em gel para higiene pessoal,3,p
auxprod6_1_21_142,Álcool em gel para uso em limpeza doméstica,3,p
auxprod6_1_21_143,Álcool em gel para uso industrial,1,p
auxprod6_1_21_144,Álcool hidratado combustível [etanol],4,p
auxprod6_1_21_145,Álcool isopropílico [isopropanol],1,p
auxprod6_1_21_146,Aldrava de metal para portas,6,p
auxprod6_1_21_147,Alecrim [tempero],30,p
auxprod6_1_21_148,Alexandrita [pedra preciosa],14,p
auxprod6_1_21_149,Alfafa [forragem para animais],31,p
auxprod6_1_21_150,Alfafa fresca,31,p
auxprod6_1_21_151,Alfanje [arma branca],8,p
auxprod6_1_21_152,Alfanje [para cortar erva],8,p
auxprod6_1_21_153,Alfazema in natura,31,p
auxprod6_1_21_154,Alforje de uso pessoal,18,p
auxprod6_1_21_155,Alforje [saco] para transporte de mercadoria a granel,22,p
auxprod6_1_21_156,Alga para estofamento,22,p
auxprod6_1_21_157,Algália [candelinha],10,p
auxprod6_1_21_158,Algeroz metálico,6,p
auxprod6_1_21_159,Algeroz não metálico,19,p
auxprod6_1_21_160,Algodão em bruto para uso industrial,1,p
auxprod6_1_21_161,Algodão para a higiene pessoal,3,p
auxprod6_1_21_162,Alicate para castração de animais,10,p
auxprod6_1_21_163,Alimento para bebê à base de cereais,5,p
auxprod6_1_21_164,Alimento para bebê à base de frutas,5,p
auxprod6_1_21_165,Alimento para bebê à base de legumes ou verduras,5,p
auxprod6_1_21_166,Alimento para bebê à base de proteína de origem animal,5,p
auxprod6_1_21_167,Alimento para bebês em condições especiais,5,p
auxprod6_1_21_168,"Alimentos predominantemente de cereais, exceto para uso medicinal, terapêutico 
ou dietético",30,p
auxprod6_1_21_169,Alizar de janela de madeira,19,p
auxprod6_1_21_170,Aljava,13,p
auxprod6_1_21_171,Almécega [condimento],30,p
auxprod6_1_21_172,Almécega [resina natural em bruto],2,p
auxprod6_1_21_173,Almofada absorvente para alimentos,16,p
auxprod6_1_21_174,Almofada não elétrica sem fim terapêutico,20,p
auxprod6_1_21_175,Almofada adaptada para cadeira de rodas,12,p
auxprod6_1_21_176,Almofada para massagem terapêutica,10,p
auxprod6_1_21_177,Almofada para muleta,10,p
auxprod6_1_21_178,Almofada para uso terapêutico,10,p
auxprod6_1_21_179,Almofadas plásticas de ar para proteção de mercadorias em embalagens,20,p
auxprod6_1_21_180,Almôndega,29,p
auxprod6_1_21_181,Almotolia [lubrificação],8,p
auxprod6_1_21_182,Almotolia [vasinho de argila],21,p
auxprod6_1_21_183,Aloé [resina natural],2,p
auxprod6_1_21_184,Aloetina [insumo farmacêutico],1,p
auxprod6_1_21_185,Aloetina [resina natural],2,p
auxprod6_1_21_186,Alojamento de madeira para animal,20,p
auxprod6_1_21_187,Alojamento de metal para animal,6,p
auxprod6_1_21_188,Alojamento para animais para uso exclusivo em laboratório,9,p
auxprod6_1_21_189,"Alojamento portátil não metálico para animais, exceto gaiolas ou jaulas",20,p
auxprod6_1_21_190,Alpaca [liga metálica],6,p
auxprod6_1_21_191,Alpaca [tecido],24,p
auxprod6_1_21_192,Alpiste,31,p
auxprod6_1_21_193,Alquilbenzeno,1,p
auxprod6_1_21_194,Alquilnaftaleno,1,p
auxprod6_1_21_195,Altar [tipo de móvel],20,p
auxprod6_1_21_196,Alto-falante para automóvel,9,p
auxprod6_1_21_197,Aluminato,1,p
auxprod6_1_21_198,Alva [veste litúrgica],25,p
auxprod6_1_21_199,Alvião [ferramenta],8,p
auxprod6_1_21_200,Alvo [material bélico para testes militares],13,p
auxprod6_1_21_201,Amassadeira elétrica,7,p
auxprod6_1_21_202,Amassadeira não elétrica,21,p
auxprod6_1_21_203,Ameixa [produto fresco],31,p
auxprod6_1_21_204,Amendoim doce,30,p
auxprod6_1_21_205,Ametista,14,p
auxprod6_1_21_206,Amidalina [insumo farmacêutico],1,p
auxprod6_1_21_207,Amidas,1,p
auxprod6_1_21_208,Amideto de sódio,1,p
auxprod6_1_21_209,Amidinas,1,p
auxprod6_1_21_210,Amido em bruto para uso industrial,1,p
auxprod6_1_21_211,Aminas,1,p
auxprod6_1_21_212,Aminoácido para tratamento de desnutrição ou deficiência proteica,5,p
auxprod6_1_21_213,Aminoácidos para uso industrial,1,p
auxprod6_1_21_214,Aminoálcoois,1,p
auxprod6_1_21_215,Aminoaldeídos,1,p
auxprod6_1_21_216,Aminofenóis,1,p
auxprod6_1_21_217,Aminonaftóis,1,p
auxprod6_1_21_218,Aminoplásticos,1,p
auxprod6_1_21_219,Amônia [amoníaco] para uso industrial,1,p
auxprod6_1_21_220,Amônia diluída para limpeza,3,p
auxprod6_1_21_221,Amortecedor aeroespacial,12,p
auxprod6_1_21_222,Amortecedor de massa sintonizado para estruturas em construção civil,19,p
auxprod6_1_21_223,"Amortecedor de impacto industrial, a gás",7,p
auxprod6_1_21_224,"Amortecedor de impacto industrial, hidráulico",7,p
auxprod6_1_21_225,"Amortecedor de impacto industrial, pneumático",7,p
auxprod6_1_21_226,Amortecedor de vidraça de veículo,12,p
auxprod6_1_21_227,Amortecedor isolador de ruído e de vibração [parte de máquina],7,p
auxprod6_1_21_228,Amortecedor para assento sanitário,11,p
auxprod6_1_21_229,Amortecedor para máquina,7,p
auxprod6_1_21_230,Amortecedor para porta [ferragem],6,p
auxprod6_1_21_231,Amplificador de som para automóvel,9,p
auxprod6_1_21_232,Anabolizante,5,p
auxprod6_1_21_233,Analisador [aparelho],9,p
auxprod6_1_21_234,Analisador de motor de combustão,9,p
auxprod6_1_21_235,Ancorote de madeira [pequeno barril],20,p
auxprod6_1_21_236,Anel de escora em metal,6,p
auxprod6_1_21_237,Anel de lubrificação [parte de motor],7,p
auxprod6_1_21_238,Anel de papel e papelão para charuto,16,p
auxprod6_1_21_239,Anel de pistão [parte de máquina],7,p
auxprod6_1_21_240,Anel de segmento [parte de máquina],7,p
auxprod6_1_21_241,Anel de segmento [parte de motor de veículo],7,p
auxprod6_1_21_242,Anel metálico [ferragem],6,p
auxprod6_1_21_243,Anel ou aro de borracha para vedação,17,p
auxprod6_1_21_244,Anel para prensa de filtrar [parte de máquina],7,p
auxprod6_1_21_245,Anel raspador de óleo [parte de motores],7,p
auxprod6_1_21_246,Anidrido sulfuroso para alimentos [dióxido de enxofre],1,p
auxprod6_1_21_247,Anilha metálica para aves,6,p
auxprod6_1_21_248,Antitussígeno [medicamento],5,p
auxprod6_1_21_249,Anticoncepcional para animal,5,p
auxprod6_1_21_250,Anticorpos,5,p
auxprod6_1_21_251,Antiderrapantes de borracha usados em móveis,17,p
auxprod6_1_21_252,Antiderrapantes de silicone usados em mesas de tampo de vidro,17,p
auxprod6_1_21_253,Antiespumante de uso industrial,1,p
auxprod6_1_21_254,Antiespumante de uso industrial à base de óleo mineral,1,p
auxprod6_1_21_255,Antiespumante de uso industrial à base de óleo vegetal,1,p
auxprod6_1_21_256,Antiespumante de uso industrial com silicone,1,p
auxprod6_1_21_257,Antifúngico [medicamento],5,p
auxprod6_1_21_258,Antifúngico para plantas,5,p
auxprod6_1_21_259,Antígeno,5,p
auxprod6_1_21_260,"Antimofo com fragrância [desumidificador à base de cloreto de cálcio para uso 
doméstico]",3,p
auxprod6_1_21_261,Antimofo [desumidificador à base de cloreto de cálcio para uso doméstico],3,p
auxprod6_1_21_262,Antioxidantes para alimentos,1,p
auxprod6_1_21_263,Anuário [publicação impressa],16,p
auxprod6_1_21_264,Anúncio luminoso de néon,9,p
auxprod6_1_21_265,Apanhador de fruta [colhedor manual],8,p
auxprod6_1_21_266,Apara de cedro aromático para repelir traça e outros insetos,5,p
auxprod6_1_21_267,Apara de metal,6,p
auxprod6_1_21_268,Apara de papel,16,p
auxprod6_1_21_269,Apara de tecido,24,p
auxprod6_1_21_270,Aparador de cerca viva elétrico,8,p
auxprod6_1_21_271,Aparador de cerca viva movido a combustível fóssil,8,p
auxprod6_1_21_272,"Aparador de grama, exceto instrumentos manuais de propulsão muscular",7,p
auxprod6_1_21_273,Aparador de grama manual [propulsão muscular],8,p
auxprod6_1_21_274,Aparelho automático de entretenimento acionado por cartão,28,p
auxprod6_1_21_275,Aparelho centrífugo de arremesso [bélico],13,p
auxprod6_1_21_276,Aparelho concentrador de minério [máquina],7,p
auxprod6_1_21_277,Aparelho de aviso de perda de velocidade,9,p
auxprod6_1_21_278,Aparelho de calibração para sensor de pressão arterial,9,p
auxprod6_1_21_279,Aparelho de calibração para sensores de pressão,9,p
auxprod6_1_21_280,Aparelho de CD para veículo,9,p
auxprod6_1_21_281,Aparelho de germinação [aparelho de laboratório],9,p
auxprod6_1_21_282,Aparelho de gravação de vídeo,9,p
auxprod6_1_21_283,Aparelho de gravação e de reprodução de videocassete,9,p
auxprod6_1_21_284,Aparelho de medição de temperatura,9,p
auxprod6_1_21_285,Aparelho de medição ocular,10,p
auxprod6_1_21_286,Aparelho de som para automóvel,9,p
auxprod6_1_21_287,Aparelho de tração para uso medicinal,10,p
auxprod6_1_21_288,Aparelho de videocassete,9,p
auxprod6_1_21_289,Aparelho desmagnetizador de fita,9,p
auxprod6_1_21_290,"Aparelho desodorizador de ambiente [aspersor], elétrico ou eletrônico, de uso 
doméstico",11,p
auxprod6_1_21_291,"Aparelho e unidade de controle eletrônico para processamento, avaliação e 
medição de sinal gerado por sensor",9,p
auxprod6_1_21_292,Aparelho elétrico de iluminação,11,p
auxprod6_1_21_293,Aparelho elétrico de uso agrícola para pulverização de produto químico [máquina],7,p
auxprod6_1_21_294,Aparelho emissor de raios laser para fins estéticos,10,p
auxprod6_1_21_295,Aparelho fumívoro de uso industrial,7,p
auxprod6_1_21_296,Aparelho geodésico,9,p
auxprod6_1_21_297,Aparelho laboratorial para espectroscopia a laser,9,p
auxprod6_1_21_298,Aparelho manual [de propulsão muscular] sugador de solda não elétrico,8,p
auxprod6_1_21_299,Aparelho médico de medição da pressão ocular [tonômetro],10,p
auxprod6_1_21_300,Aparelho médico de medição ocular,10,p
auxprod6_1_21_301,Aparelho médico emissor de raios laser,10,p
auxprod6_1_21_302,Aparelho misturador de manteiga de uso industrial ou comercial,7,p
auxprod6_1_21_303,Aparelho nuclear para o reprocessamento do combustível sólido irradiado,11,p
auxprod6_1_21_304,"Aparelho ou dispositivo para matar ou repelir inseto, exceto ferramenta manual",21,p
auxprod6_1_21_305,Aparelho ou instrumento de ensino,9,p
auxprod6_1_21_306,Aparelho ou instrumento para vacinação,10,p
auxprod6_1_21_307,Aparelho para checagem da vela de ignição,9,p
auxprod6_1_21_308,Aparelho para controle de estacionamento,9,p
auxprod6_1_21_309,Aparelho para curvar cílio,8,p
auxprod6_1_21_310,Aparelho para ensaio de arma [bélico],13,p
auxprod6_1_21_311,Aparelho para esterilização ou conservação do leite de uso industrial e comercial,7,p
auxprod6_1_21_312,Aparelho para fazer gelo de uso doméstico,11,p
auxprod6_1_21_313,Aparelho para hibridação,7,p
auxprod6_1_21_314,"Aparelho para lavar ou enxugar pessoa [acionado por moeda, ficha, cartão]",9,p
auxprod6_1_21_315,Aparelho para leitura de microfilme,9,p
auxprod6_1_21_316,"Aparelho para limpar ou polir bota ou sapato [acionado por moeda, ficha, cartão]",9,p
auxprod6_1_21_317,Aparelho para limpeza de arma de fogo,13,p
auxprod6_1_21_318,Aparelho para ordenha mecânica,7,p
auxprod6_1_21_319,"Aparelho para produção, distribuição e conversão de energia elétrica",9,p
auxprod6_1_21_320,Aparelho para pulverização de produto químico para uso agroindustrial,7,p
auxprod6_1_21_321,Aparelho para remover objeto ou material radioativo,11,p
auxprod6_1_21_322,Aparelho para tração [ginástica],28,p
auxprod6_1_21_323,Aparelho para tratamento de casco de animal,10,p
auxprod6_1_21_324,Aparelho para tratamento e purificação de água para uso industrial,11,p
auxprod6_1_21_325,Aparelho projetor de filme,9,p
auxprod6_1_21_326,"Aparelho radiômetro usado na radiestesia ou radioestesia [sensibilidade à 
radiação]",11,p
auxprod6_1_21_327,Aparelho totalizador,9,p
auxprod6_1_21_328,Aparelhos domésticos para vedar,9,p
auxprod6_1_21_329,"Apatita [mineral hexagonal, fluorfosfato ou clorofosfato de cálcio, ou ambos em 
mistura, matéria-prima para a fabricação de adubo fosfatado]",1,p
auxprod6_1_21_330,Aperiódico [transformador de alta-frequência],9,p
auxprod6_1_21_331,Aperta-cabo e aperta-fio [ferramenta],8,p
auxprod6_1_21_332,Apito para guiar ou adestrar animal,9,p
auxprod6_1_21_333,Apito ultrassônico,9,p
auxprod6_1_21_334,Apito usado como instrumento musical,15,p
auxprod6_1_21_335,Aplicador de cílio artificial,8,p
